session_id,configuration_id,telescope,camera,guide_profile,notes
2026-07-14_2026-07-15,QUATTRO200_TOUPTEK294_BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,,Classificazione manuale
2026-07-15_2026-07-16,QUATTRO200_TOUPTEK294_BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,,Classificazione manuale
2026-07-16_2026-07-17,QUATTRO200_TOUPTEK294_BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,,Classificazione manuale
2026-08-14_2026-08-15,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,,Classificazione manuale confermata: C8 con QHY695A; Quattro 200P parallelo con ToupTek 294MC PRO
