configuration_id,configuration_name,telescope,camera,session_count,total_duration_hours,total_integration_hours,integration_efficiency_pct,light_started,light_completed,light_failed,average_completion_pct,average_rms_total_arcsec,first_session_start,last_session_end
C8_QHY695A_BIN1,C8 XLT + QHY695A BIN1,Celestron C8 XLT,QHY695A,15,166.7159,89.6668,53.78,552,538,14,95.72,0.984,2026-08-14T18:00:00,2026-09-20T03:59:47.0000000Z
QUATTRO200_TOUPTEK294_BIN1,Quattro 200P + ToupTek 294MC PRO BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,5,60.9891,44.4999,72.96,372,267,105,83.402,0.8678,2026-07-14T18:00:00,2026-09-23T03:59:41.0000000Z
UNKNOWN,,,,2,26,0,0,0,0,0,,0.226,2026-08-10T18:00:00,2026-08-27T07:00:00
