session_id,log_path,line_number,timestamp,image_path,filename,frame_type,binning,exposure_seconds,gain,offset,target_name,telescope,camera_temperature_c,filter_name,sequence_number
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2389,2026-07-15T02:33:52.010100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0010_2026-07-15_02-23-36_FWHM_7.24_Fok_115892.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0010_2026-07-15_02-23-36_FWHM_7.24_Fok_115892.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0010
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2458,2026-07-15T02:47:26.773800+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0011_2026-07-15_02-37-10_FWHM_6.96_Fok_115713.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0011_2026-07-15_02-37-10_FWHM_6.96_Fok_115713.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0011
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2534,2026-07-15T03:00:56.810500+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0012_2026-07-15_02-50-41_FWHM_7.45_Fok_115621.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0012_2026-07-15_02-50-41_FWHM_7.45_Fok_115621.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0012
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2586,2026-07-15T03:14:08.856100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0013_2026-07-15_03-03-53_FWHM_7.63_Fok_116364.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0013_2026-07-15_03-03-53_FWHM_7.63_Fok_116364.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0013
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2656,2026-07-15T03:27:35.869500+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0014_2026-07-15_03-17-18_FWHM_7.21_Fok_115676.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0014_2026-07-15_03-17-18_FWHM_7.21_Fok_115676.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0014
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2720,2026-07-15T03:40:57.397200+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0015_2026-07-15_03-30-42_FWHM_7.15_Fok_115278.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0015_2026-07-15_03-30-42_FWHM_7.15_Fok_115278.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0015
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2784,2026-07-15T03:54:12.578800+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0016_2026-07-15_03-43-56_FWHM_7.04_Fok_116231.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0016_2026-07-15_03-43-56_FWHM_7.04_Fok_116231.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0016
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2853,2026-07-15T04:07:44.822500+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0017_2026-07-15_03-57-28_FWHM_6.78_Fok_116840.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0017_2026-07-15_03-57-28_FWHM_6.78_Fok_116840.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0017
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2935,2026-07-15T04:22:47.633400+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0018_2026-07-15_04-12-33_FWHM_7.08_Fok_116723.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0018_2026-07-15_04-12-33_FWHM_7.08_Fok_116723.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0018
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,422,2026-07-15T22:57:10.508600+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0101_2026-07-15_22-46-56_FWHM_6.21_Fok_114532.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0101_2026-07-15_22-46-56_FWHM_6.21_Fok_114532.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0101
