PHD2 version 2.6.14 [Windows], Log version 2.5. Log enabled at 2026-08-10 20:40:06
INFO: Guiding parameter change, MultiStar = true

Guiding Begins at 2026-08-10 22:18:22
Equipment Profile = SW4P_EVO
Dither = both axes, Dither scale = 1.000, Image noise reduction = 2x2 mean, Guide-frame time lapse = 0, Server enabled
Pixel scale = 2.91 arc-sec/px, Binning = 1, Focal length = 266 mm
Search region = 15 px, Star mass tolerance = 50.0%, Multi-star mode, list size = 12
 Camera = ZWO ASI120MM Mini (ASCOM), full size = 1280 x 960, have dark, dark dur = 1500, no defect map, pixel size = 3.8 um
Exposure = 1500 ms
Mount = GPUSB, connected, guiding enabled, AuxMount=CPWI_ASCOM_Telescope, xAngle = 154.7, xRate = 4.406, yAngle = -115.3, yRate = 5.100, parity = +/+
Norm rates RA = 13.9"/s @ dec 0, Dec = 14.8"/s; ortho.err. = 0.0 deg
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.130
Y guide algorithm = Resist Switch, Minimum move = 0.200 Aggression = 100% FastSwitch = enabled
Backlash comp = enabled, pulse = 1033 ms
Max RA duration = 2500, Max DEC duration = 2500, DEC guide mode = Auto
RA Guide Speed = 14.9 a-s/s, Dec Guide Speed = 14.9 a-s/s, Cal Dec = 0.0, Last Cal Issue = None, Timestamp = 15/07/2026 22:18:28
RA = 20.01 hr, Dec = 22.8 deg, Hour angle = -1.65 hr, Pier side = West, Rotator pos = N/A, Alt = 61.6 deg, Az = 126.0 deg
Lock position = 1264.014, 898.051, Star position = 1264.014, 898.051, HFD = 2.99 px
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
INFO: SETTLING STATE CHANGE, Settling started
1,2.137,"Mount",-0.009,0.200,0.093,-0.177,0.000,0.000,0,,0,,,,647845,451.47,0
2,4.069,"Mount",0.386,0.014,-0.343,-0.177,-0.216,0.000,49,E,0,,,,645556,430.38,0
3,6.133,"Mount",-0.181,0.117,0.214,-0.028,0.120,0.000,27,W,0,,,,626601,412.59,0
4,7.907,"Mount",0.175,0.248,-0.052,-0.299,0.000,0.000,0,,0,,,,640088,424.54,0
5,9.934,"Mount",-0.287,-0.023,0.250,0.144,0.157,0.000,36,W,0,,,,651545,452.22,0
6,11.821,"Mount",-0.501,0.287,0.576,-0.045,0.374,0.000,85,W,0,,,,634057,445.36,0
INFO: SETTLING STATE CHANGE, Settling complete
7,13.949,"Mount",-0.482,0.261,0.547,-0.029,0.371,0.000,84,W,0,,,,667283,454.53,0
8,15.921,"Mount",-0.158,-0.012,0.138,0.078,0.113,0.000,26,W,0,,,,670723,454.00,0
9,17.933,"Mount",0.217,-0.024,-0.207,-0.072,-0.122,0.000,28,E,0,,,,642406,475.90,0
10,19.829,"Mount",-0.183,0.012,0.170,0.067,0.099,0.000,22,W,0,,,,641874,433.69,0
11,21.837,"Mount",0.081,0.004,-0.071,-0.038,0.000,0.000,0,,0,,,,659399,443.99,0
12,24.109,"Mount",-0.198,0.107,0.224,-0.012,0.141,0.000,32,W,0,,,,663390,455.60,0
13,26.141,"Mount",0.164,-0.200,-0.234,0.111,-0.137,0.000,31,E,0,,,,680032,440.83,0
14,28.126,"Mount",-0.029,0.264,0.139,-0.226,0.078,0.000,18,W,0,,,,660554,404.13,0
15,30.133,"Mount",-0.268,-0.000,0.242,0.115,0.158,0.000,36,W,0,,,,678987,435.35,0
16,31.896,"Mount",-0.122,-0.164,0.040,0.201,0.000,0.000,0,,0,,,,671190,434.66,0
17,34.001,"Mount",-0.351,0.118,0.368,0.043,0.232,0.000,53,W,0,,,,645771,425.43,0
18,35.893,"Mount",-0.150,0.047,0.156,0.021,0.114,0.000,26,W,0,,,,631820,469.68,0
19,37.963,"Mount",-0.123,0.023,0.121,0.031,0.000,0.000,0,,0,,,,657161,444.30,0
20,39.925,"Mount",0.234,-0.245,-0.316,0.121,-0.199,0.000,45,E,0,,,,683769,466.20,0
21,41.878,"Mount",0.005,-0.132,-0.061,0.117,0.000,0.000,0,,0,,,,694599,419.75,0
22,43.790,"Mount",-0.081,-0.469,-0.128,0.458,0.000,0.000,0,,0,,,,648103,429.69,0
23,45.715,"Mount",-0.148,-0.104,0.089,0.157,0.000,0.000,0,,0,,,,658412,452.48,0
24,47.920,"Mount",-0.396,-0.112,0.310,0.271,0.195,0.271,44,W,53,S,,,676784,453.43,0
25,50.021,"Mount",0.110,-0.247,-0.205,0.176,-0.115,0.000,26,E,0,,,,669955,416.48,0
26,52.077,"Mount",-0.388,-0.530,0.125,0.645,0.000,0.645,0,,126,S,,,692073,471.19,0
27,54.246,"Mount",-0.374,-0.360,0.184,0.485,0.116,0.485,26,W,95,S,,,697552,482.32,0
28,56.261,"Mount",-0.540,-0.191,0.406,0.403,0.264,0.403,60,W,79,S,,,714546,478.23,0
29,58.741,"Mount",-0.376,-0.240,0.238,0.378,0.168,0.378,38,W,74,S,,,698730,463.69,0
30,60.653,"Mount",-0.285,-0.286,0.135,0.380,0.097,0.380,22,W,74,S,,,658104,469.15,0
31,62.797,"Mount",0.018,-0.603,-0.274,0.537,-0.166,0.537,38,E,105,S,,,655106,463.09,0
32,64.805,"Mount",-0.316,-0.505,0.070,0.592,0.000,0.592,0,,116,S,,,652354,424.35,0
33,67.053,"Mount",-0.069,-0.627,-0.205,0.597,-0.129,0.597,29,E,117,S,,,645379,408.80,0
34,69.319,"Mount",0.111,-0.435,-0.286,0.346,-0.189,0.346,43,E,68,S,,,668649,447.01,0
