PHD2 version 2.6.14 [Windows], Log version 2.5. Log enabled at 2026-08-10 20:40:06
INFO: Guiding parameter change, MultiStar = true

Guiding Begins at 2026-08-10 22:18:22
Equipment Profile = SW4P_EVO
Dither = both axes, Dither scale = 1.000, Image noise reduction = 2x2 mean, Guide-frame time lapse = 0, Server enabled
Pixel scale = 2.91 arc-sec/px, Binning = 1, Focal length = 266 mm
Search region = 15 px, Star mass tolerance = 50.0%, Multi-star mode, list size = 12
 Camera = ZWO ASI120MM Mini (ASCOM), full size = 1280 x 960, have dark, dark dur = 1500, no defect map, pixel size = 3.8 um
Exposure = 1500 ms
Mount = GPUSB, connected, guiding enabled, AuxMount=CPWI_ASCOM_Telescope, xAngle = 154.7, xRate = 4.406, yAngle = -115.3, yRate = 5.100, parity = +/+
Norm rates RA = 13.9"/s @ dec 0, Dec = 14.8"/s; ortho.err. = 0.0 deg
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.130
Y guide algorithm = Resist Switch, Minimum move = 0.200 Aggression = 100% FastSwitch = enabled
Backlash comp = enabled, pulse = 1033 ms
Max RA duration = 2500, Max DEC duration = 2500, DEC guide mode = Auto
RA Guide Speed = 14.9 a-s/s, Dec Guide Speed = 14.9 a-s/s, Cal Dec = 0.0, Last Cal Issue = None, Timestamp = 15/07/2026 22:18:28
RA = 20.01 hr, Dec = 22.8 deg, Hour angle = -1.65 hr, Pier side = West, Rotator pos = N/A, Alt = 61.6 deg, Az = 126.0 deg
Lock position = 1264.014, 898.051, Star position = 1264.014, 898.051, HFD = 2.99 px
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
35,71.421,"Mount",-0.051,-0.410,-0.129,0.392,0.000,0.392,0,,77,S,,,669289,477.97,0
36,73.453,"Mount",-0.089,-0.384,-0.083,0.385,0.000,0.385,0,,76,S,,,641603,434.37,0
37,75.626,"Mount",-0.406,-0.371,0.209,0.509,0.132,0.509,30,W,100,S,,,630233,423.46,0
38,77.653,"Mount",-0.468,-0.188,0.343,0.370,0.225,0.370,51,W,73,S,,,656537,423.59,0
39,79.885,"Mount",-0.429,0.060,0.414,0.129,0.277,0.000,63,W,0,,,,663506,451.95,0
40,81.901,"Mount",-0.231,-0.233,0.109,0.309,0.000,0.309,0,,61,S,,,633762,416.37,0
41,84.223,"Mount",-0.248,-0.121,0.172,0.216,0.109,0.216,25,W,42,S,,,641706,449.45,0
42,86.117,"Mount",-0.067,-0.190,-0.020,0.200,0.000,0.200,0,,39,S,,,643803,445.00,0
43,88.301,"Mount",0.336,-0.422,-0.484,0.238,-0.305,0.238,69,E,47,S,,,672731,444.94,0
44,90.334,"Mount",0.273,-0.382,-0.410,0.229,-0.280,0.229,64,E,45,S,,,660634,450.99,0
45,92.525,"Mount",-0.222,-0.161,0.132,0.240,0.064,0.240,14,W,47,S,,,676736,436.72,0
46,94.345,"Mount",0.096,-0.059,-0.112,0.013,0.000,0.000,0,,0,,,,689455,446.23,0
47,96.429,"Mount",0.230,-0.110,-0.255,0.001,-0.161,0.000,36,E,0,,,,646884,431.01,0
48,98.397,"Mount",-0.051,-0.302,-0.083,0.295,0.000,0.295,0,,58,S,,,645339,444.31,0
49,100.522,"Mount",-0.142,-0.219,0.035,0.258,0.000,0.258,0,,51,S,,,629897,432.45,0
50,102.354,"Mount",-0.149,-0.066,0.107,0.123,0.000,0.000,0,,0,,,,656358,456.84,0
51,104.493,"Mount",0.223,-0.329,-0.342,0.203,-0.216,0.203,49,E,40,S,,,655187,418.76,0
52,106.421,"Mount",0.225,-0.215,-0.295,0.098,-0.201,0.000,46,E,0,,,,640166,435.32,0
53,108.469,"Mount",-0.028,-0.217,-0.068,0.208,0.000,0.208,0,,41,S,,,665974,478.15,0
54,110.354,"Mount",-0.040,-0.144,-0.026,0.147,0.000,0.000,0,,0,,,,670969,484.43,0
55,112.365,"Mount",-0.017,-0.258,-0.095,0.241,0.000,0.241,0,,47,S,,,630007,407.87,0
56,114.311,"Mount",0.179,-0.297,-0.288,0.192,-0.182,0.000,41,E,0,,,,646046,425.45,0
57,116.325,"Mount",0.023,-0.142,-0.081,0.118,0.000,0.000,0,,0,,,,657106,459.36,0
58,118.286,"Mount",0.233,-0.272,-0.326,0.146,-0.206,0.000,47,E,0,,,,672112,455.74,0
59,120.511,"Mount",-0.679,-0.227,0.516,0.495,0.311,0.495,71,W,97,S,,,650864,458.66,0
60,122.893,"Mount",-0.498,-0.088,0.413,0.292,0.282,0.292,64,W,57,S,,,665045,419.26,0
61,125.037,"Mount",-0.524,-0.082,0.438,0.298,0.296,0.298,67,W,58,S,,,636141,428.77,0
62,126.981,"Mount",-0.143,-0.290,0.005,0.323,0.000,0.323,0,,63,S,,,649877,430.68,0
63,129.245,"Mount",-0.083,-0.484,-0.132,0.473,-0.083,0.473,19,E,93,S,,,686794,428.29,0
64,131.221,"Mount",-0.035,-0.363,-0.123,0.343,0.000,0.343,0,,67,S,,,639550,410.57,0
65,133.733,"Mount",-0.076,-0.369,-0.089,0.366,0.000,0.366,0,,72,S,,,615924,410.35,0
66,135.529,"Mount",-0.153,-0.148,0.075,0.199,0.000,0.000,0,,0,,,,685042,445.10,0
67,137.726,"Mount",-0.392,-0.132,0.298,0.287,0.188,0.287,43,W,56,S,,,635325,410.44,0
68,139.781,"Mount",-0.367,-0.170,0.259,0.310,0.176,0.310,40,W,61,S,,,659575,438.84,0
69,141.861,"Mount",-0.388,0.110,0.398,0.066,0.263,0.000,60,W,0,,,,662491,441.56,0
70,144.166,"Mount",-0.320,-0.002,0.288,0.138,0.200,0.000,45,W,0,,,,632837,429.23,0
71,146.301,"Mount",-0.181,-0.242,0.060,0.296,0.000,0.296,0,,58,S,,,625082,450.40,0
72,148.158,"Mount",-0.125,-0.132,0.057,0.173,0.000,0.000,0,,0,,,,642983,439.69,0
73,150.346,"Mount",-0.059,-0.197,-0.031,0.203,0.000,0.203,0,,40,S,,,630398,428.93,0
74,152.295,"Mount",-0.223,-0.089,0.164,0.176,0.103,0.000,23,W,0,,,,663492,445.63,0
75,154.373,"Mount",-0.032,-0.346,-0.119,0.327,0.000,0.327,0,,64,S,,,638614,463.98,0
76,156.357,"Mount",-0.273,-0.220,0.153,0.316,0.097,0.316,22,W,62,S,,,651803,449.22,0
77,158.549,"Mount",-0.034,-0.400,-0.141,0.376,-0.082,0.376,19,E,74,S,,,652934,474.37,0
78,160.589,"Mount",-0.264,-0.105,0.193,0.208,0.116,0.208,26,W,41,S,,,656241,439.16,0
79,162.790,"Mount",-0.578,-0.059,0.498,0.301,0.322,0.301,73,W,59,S,,,629664,451.62,0
80,165.061,"Mount",-0.673,0.072,0.639,0.223,0.425,0.223,96,W,44,S,,,645842,429.43,0
81,167.141,"Mount",-0.115,-0.155,0.038,0.189,0.000,0.000,0,,0,,,,659693,428.94,0
82,169.221,"Mount",-0.253,-0.255,0.120,0.339,0.000,0.339,0,,66,S,,,628234,443.63,0
83,171.349,"Mount",-0.065,-0.330,-0.082,0.326,0.000,0.326,0,,64,S,,,647041,442.21,0
84,173.405,"Mount",-0.202,-0.174,0.108,0.244,0.000,0.244,0,,48,S,,,614938,384.69,0
85,175.421,"Mount",0.114,-0.211,-0.193,0.142,-0.122,0.000,28,E,0,,,,644136,420.20,0
86,177.372,"Mount",-0.053,-0.336,-0.096,0.327,0.000,0.327,0,,64,S,,,634353,425.45,0
87,179.480,"Mount",0.060,-0.058,-0.079,0.027,0.000,0.000,0,,0,,,,666806,479.38,0
88,181.445,"Mount",-0.148,-0.218,0.041,0.260,0.000,0.260,0,,51,S,,,636669,450.36,0
89,183.885,"Mount",-0.498,0.188,0.530,0.043,0.334,0.000,76,W,0,,,,631142,445.68,0
90,185.989,"Mount",-0.537,0.015,0.492,0.216,0.334,0.216,76,W,42,S,,,658370,445.80,0
91,187.999,"Mount",-0.042,-0.176,-0.037,0.177,0.000,0.000,0,,0,,,,615894,455.66,0
92,189.912,"Mount",0.056,-0.194,-0.133,0.152,-0.084,0.000,19,E,0,,,,622534,463.03,0
93,191.973,"Mount",0.211,-0.174,-0.265,0.067,-0.173,0.000,39,E,0,,,,658253,446.29,0
94,194.237,"Mount",0.049,-0.369,-0.202,0.312,-0.139,0.312,32,E,61,S,,,608737,424.30,0
95,196.285,"Mount",-0.411,-0.026,0.360,0.199,0.217,0.000,49,W,0,,,,661055,426.88,0
96,198.301,"Mount",0.183,-0.329,-0.306,0.219,-0.178,0.219,40,E,43,S,,,633699,439.70,0
97,200.510,"Mount",0.257,-0.349,-0.382,0.206,-0.253,0.206,57,E,40,S,,,632446,431.05,0
98,202.453,"Mount",0.216,-0.249,-0.301,0.133,-0.207,0.000,47,E,0,,,,611709,397.69,0
99,204.622,"Mount",-0.409,0.244,0.474,-0.046,0.284,0.000,65,W,0,,,,626908,445.71,0
100,206.605,"Mount",-0.444,0.130,0.457,0.073,0.308,0.000,70,W,0,,,,643357,446.37,0
101,208.614,"Mount",-0.135,-0.057,0.098,0.110,0.000,0.000,0,,0,,,,676955,453.42,0
102,210.552,"Mount",-0.187,-0.048,0.148,0.124,0.093,0.000,21,W,0,,,,664619,434.18,0
103,212.721,"Mount",0.308,-0.166,-0.350,0.018,-0.214,0.000,49,E,0,,,,639116,447.53,0
104,214.739,"Mount",0.233,-0.106,-0.256,-0.003,-0.176,0.000,40,E,0,,,,656088,404.62,0
105,217.197,"Mount",0.171,-0.351,-0.305,0.244,-0.204,0.244,46,E,48,S,,,675057,438.58,0
106,219.132,"Mount",0.019,0.054,0.006,-0.057,0.000,0.000,0,,0,,,,673146,456.24,0
107,221.338,"Mount",0.236,-0.260,-0.324,0.134,-0.204,0.000,46,E,0,,,,665330,427.23,0
108,223.397,"Mount",-0.235,-0.088,0.175,0.180,0.096,0.000,22,W,0,,,,682524,491.72,0
109,225.461,"Mount",-0.103,-0.197,0.009,0.222,0.000,0.222,0,,43,S,,,645381,418.40,0
110,227.453,"Mount",-0.201,-0.012,0.176,0.096,0.111,0.000,25,W,0,,,,661843,424.41,0
111,229.573,"Mount",-0.292,0.147,0.327,-0.008,0.214,0.000,49,W,0,,,,662176,438.63,0
112,231.668,"Mount",-0.041,-0.317,-0.099,0.304,0.000,0.304,0,,60,S,,,641995,410.71,0
113,234.013,"Mount",0.090,-0.309,-0.214,0.241,-0.135,0.241,31,E,47,S,,,641564,424.87,0
114,236.022,"Mount",0.228,-0.337,-0.351,0.207,-0.230,0.207,52,E,41,S,,,651193,405.68,0
115,238.213,"Mount",0.402,-0.387,-0.529,0.178,-0.349,0.000,79,E,0,,,,697868,468.23,0
116,240.269,"Mount",0.222,-0.309,-0.332,0.184,-0.234,0.000,53,E,0,,,,680403,456.28,0
117,242.464,"Mount",0.318,-0.060,-0.314,-0.082,-0.214,0.000,49,E,0,,,,682227,445.96,0
118,244.621,"Mount",0.295,-0.468,-0.467,0.298,-0.309,0.298,70,E,58,S,,,654056,430.85,0
119,246.707,"Mount",0.009,0.136,0.050,-0.126,0.000,0.000,0,,0,,,,664680,451.90,0
120,248.613,"Mount",0.134,-0.156,-0.188,0.084,-0.118,0.000,27,E,0,,,,645811,436.35,0
121,250.697,"Mount",-0.126,-0.057,0.090,0.106,0.000,0.000,0,,0,,,,653758,416.24,0
122,252.673,"Mount",-0.063,0.083,0.092,-0.048,0.000,0.000,0,,0,,,,645510,421.07,0
123,254.760,"Mount",0.174,-0.154,-0.223,0.065,-0.141,0.000,32,E,0,,,,634601,382.16,0
124,256.608,"Mount",0.064,-0.100,-0.101,0.063,0.000,0.000,0,,0,,,,654976,442.65,0
125,258.807,"Mount",0.337,-0.226,-0.401,0.060,-0.253,0.000,57,E,0,,,,661177,453.26,0
126,260.954,"Mount",0.092,-0.347,-0.232,0.274,-0.164,0.274,37,E,54,S,,,636456,452.51,0
127,262.968,"Mount",0.113,-0.019,-0.110,-0.031,0.000,0.000,0,,0,,,,660505,439.17,0
128,264.902,"Mount",0.202,-0.060,-0.209,-0.032,-0.132,0.000,30,E,0,,,,633984,429.89,0
129,267.126,"Mount",0.302,-0.374,-0.433,0.209,-0.282,0.209,64,E,41,S,,,652179,409.40,0
130,269.187,"Mount",0.277,-0.133,-0.308,0.002,-0.213,0.000,48,E,0,,,,650659,428.92,0
131,271.341,"Mount",-0.348,0.139,0.374,0.023,0.220,0.000,50,W,0,,,,634413,407.79,0
132,273.226,"Mount",-0.037,0.049,0.055,-0.028,0.000,0.000,0,,0,,,,690327,452.76,0
133,275.330,"Mount",0.045,-0.100,-0.084,0.071,0.000,0.000,0,,0,,,,677021,437.19,0
134,277.253,"Mount",0.339,-0.361,-0.461,0.182,-0.290,0.000,66,E,0,,,,671004,421.05,0
135,279.287,"Mount",0.259,-0.132,-0.290,0.008,-0.203,0.000,46,E,0,,,,685702,444.11,0
136,281.477,"Mount",0.262,-0.230,-0.335,0.096,-0.225,0.000,51,E,0,,,,686736,424.21,0
137,283.496,"Mount",0.007,-0.222,-0.101,0.197,0.000,0.000,0,,0,,,,674476,437.35,0
138,285.743,"Mount",0.103,-0.593,-0.347,0.492,-0.218,0.492,50,E,96,S,,,679660,448.35,0
139,287.933,"Mount",0.242,0.011,-0.214,-0.113,-0.150,0.000,34,E,0,,,,676622,459.51,0
140,289.690,"Mount",0.168,0.114,-0.103,-0.175,0.000,0.000,0,,0,,,,659498,433.70,0
141,291.891,"Mount",0.015,0.312,0.120,-0.288,0.000,0.000,0,,0,,,,683321,479.97,0
142,293.832,"Mount",-0.034,-0.019,0.022,0.031,0.000,0.000,0,,0,,,,611401,405.03,0
143,296.063,"Mount",0.283,-0.145,-0.318,0.010,-0.200,0.000,45,E,0,,,,612788,419.37,0
144,298.135,"Mount",0.273,-0.256,-0.357,0.115,-0.239,0.000,54,E,0,,,,631225,423.33,0
145,300.317,"Mount",0.332,-0.228,-0.398,0.064,-0.267,0.000,61,E,0,,,,638898,447.12,0
146,302.477,"Mount",0.243,-0.281,-0.340,0.151,-0.233,0.000,53,E,0,,,,681836,438.85,0
147,304.549,"Mount",0.194,-0.383,-0.339,0.264,-0.230,0.264,52,E,52,S,,,659951,431.78,0
148,306.654,"Mount",0.274,-0.180,-0.325,0.046,-0.221,0.000,50,E,0,,,,641389,418.56,0
149,308.727,"Mount",0.039,0.021,-0.026,-0.036,0.000,0.000,0,,0,,,,640415,427.38,0
150,310.822,"Mount",-0.115,0.071,0.135,-0.015,0.085,0.000,19,W,0,,,,645980,452.11,0
151,313.301,"Mount",-0.258,0.187,0.313,-0.059,0.203,0.000,46,W,0,,,,663551,455.64,0
152,315.353,"Mount",-0.554,0.181,0.578,0.073,0.378,0.000,86,W,0,,,,675099,458.86,0
153,317.549,"Mount",0.260,-0.192,-0.317,0.062,-0.173,0.000,39,E,0,,,,642199,454.83,0
154,319.565,"Mount",0.268,-0.147,-0.305,0.018,-0.204,0.000,46,E,0,,,,645907,465.49,0
155,321.669,"Mount",0.223,-0.278,-0.320,0.156,-0.216,0.000,49,E,0,,,,671733,435.62,0
156,324.148,"Mount",0.175,-0.153,-0.223,0.064,-0.156,0.000,35,E,0,,,,633645,432.28,0
157,326.314,"Mount",-0.088,-0.150,0.016,0.173,0.000,0.000,0,,0,,,,651053,446.16,0
158,328.292,"Mount",-0.061,-0.160,-0.013,0.171,0.000,0.000,0,,0,,,,672327,465.04,0
159,330.439,"Mount",-0.057,-0.249,-0.055,0.250,0.000,0.250,0,,49,S,,,653172,417.68,0
160,332.366,"Mount",-0.122,-0.240,0.007,0.269,0.000,0.269,0,,53,S,,,664446,409.61,0
161,334.493,"Mount",-0.166,0.084,0.186,-0.005,0.117,0.000,27,W,0,,,,674489,456.65,0
162,336.352,"Mount",0.074,-0.097,-0.108,0.056,0.000,0.000,0,,0,,,,727868,451.72,0
163,338.533,"Mount",0.205,-0.115,-0.235,0.016,-0.148,0.000,34,E,0,,,,672516,441.95,0
164,340.637,"Mount",0.426,-0.123,-0.438,-0.071,-0.286,0.000,65,E,0,,,,684939,459.48,0
165,342.885,"Mount",0.319,-0.443,-0.478,0.264,-0.321,0.264,73,E,52,S,,,706431,477.09,0
166,345.103,"Mount",0.332,-0.439,-0.488,0.256,-0.330,0.256,75,E,50,S,,,648417,461.03,0
167,347.360,"Mount",-0.166,0.201,0.236,-0.111,0.125,0.000,28,W,0,,,,684005,466.21,0
168,349.337,"Mount",0.089,0.129,-0.026,-0.154,0.000,0.000,0,,0,,,,692803,477.49,0
169,351.453,"Mount",0.130,-0.017,-0.125,-0.040,0.000,0.000,0,,0,,,,643940,406.42,0
170,353.573,"Mount",0.149,0.001,-0.134,-0.065,-0.084,0.000,19,E,0,,,,669725,466.20,0
171,355.775,"Mount",-0.194,0.220,0.270,-0.116,0.164,0.000,37,W,0,,,,641307,433.50,0
172,357.698,"Mount",0.002,0.074,0.030,-0.068,0.000,0.000,0,,0,,,,656021,456.86,0
173,359.901,"Mount",0.226,-0.243,-0.308,0.123,-0.194,0.000,44,E,0,,,,653732,444.90,0
174,361.901,"Mount",0.227,-0.042,-0.223,-0.059,-0.154,0.000,35,E,0,,,,663371,451.94,0
175,364.020,"Mount",0.043,-0.161,-0.108,0.127,0.000,0.000,0,,0,,,,658895,429.30,0
176,366.153,"Mount",0.058,-0.301,-0.181,0.247,-0.114,0.247,26,E,48,S,,,671381,424.77,0
177,368.319,"Mount",0.424,-0.324,-0.522,0.112,-0.337,0.000,76,E,0,,,,649682,441.82,0
178,370.317,"Mount",0.124,-0.056,-0.136,-0.002,-0.109,0.000,25,E,0,,,,668581,468.88,0
179,372.439,"Mount",0.118,-0.123,-0.159,0.061,-0.108,0.000,25,E,0,,,,654812,399.64,0
180,374.484,"Mount",-0.171,0.206,0.243,-0.113,0.146,0.000,33,W,0,,,,672966,450.13,0
181,376.798,"Mount",-0.692,0.170,0.698,0.142,0.450,0.000,102,W,0,,,,693507,438.52,0
182,378.806,"Mount",-0.425,0.166,0.456,0.032,0.318,0.000,72,W,0,,,,681440,443.74,0
183,381.044,"Mount",-0.243,0.208,0.309,-0.084,0.217,0.000,49,W,0,,,,690777,429.96,0
184,383.006,"Mount",0.176,-0.155,-0.226,0.065,-0.127,0.000,29,E,0,,,,661511,469.11,0
185,385.320,"Mount",0.262,-0.535,-0.466,0.371,-0.302,0.371,69,E,73,S,,,671026,454.83,0
186,387.321,"Mount",0.382,-0.203,-0.432,0.020,-0.293,0.000,67,E,0,,,,671847,471.15,0
187,389.493,"Mount",0.423,-0.175,-0.458,-0.022,-0.309,0.000,70,E,0,,,,646745,432.42,0
188,391.522,"Mount",0.312,-0.138,-0.341,-0.009,-0.236,0.000,54,E,0,,,,662672,457.55,0
189,393.817,"Mount",0.031,-0.018,-0.036,0.004,0.000,0.000,0,,0,,,,678314,437.58,0
190,395.774,"Mount",0.192,-0.015,-0.180,-0.068,-0.114,0.000,26,E,0,,,,657319,443.36,0
191,398.023,"Mount",-0.197,0.204,0.265,-0.101,0.159,0.000,36,W,0,,,,663130,443.17,0
192,400.106,"Mount",0.104,0.031,-0.081,-0.072,0.000,0.000,0,,0,,,,693008,442.08,0
193,402.191,"Mount",0.042,-0.254,-0.147,0.212,-0.092,0.212,21,E,42,S,,,663388,441.46,0
194,404.195,"Mount",0.186,0.049,-0.147,-0.124,-0.099,0.000,22,E,0,,,,658852,429.86,0
195,406.425,"Mount",0.072,0.083,-0.029,-0.106,0.000,0.000,0,,0,,,,715401,480.25,0
196,408.338,"Mount",0.161,0.089,-0.107,-0.149,0.000,0.000,0,,0,,,,696950,465.25,0
197,410.525,"Mount",0.342,-0.260,-0.420,0.089,-0.265,0.000,60,E,0,,,,670634,433.80,0
198,412.460,"Mount",0.136,-0.113,-0.171,0.044,-0.126,0.000,29,E,0,,,,617842,395.86,0
199,414.462,"Mount",0.049,-0.014,-0.050,-0.008,0.000,0.000,0,,0,,,,658810,442.97,0
200,416.694,"Mount",0.088,-0.275,-0.197,0.211,-0.124,0.211,28,E,41,S,,,641124,457.32,0
201,418.730,"Mount",0.120,-0.028,-0.121,-0.026,0.000,0.000,0,,0,,,,665780,440.64,0
202,420.790,"Mount",-0.304,0.076,0.307,0.061,0.194,0.000,44,W,0,,,,678105,462.72,0
203,422.829,"Mount",-0.057,0.249,0.158,-0.201,0.113,0.000,26,W,0,,,,680284,458.94,0
204,424.751,"Mount",-0.129,0.154,0.182,-0.085,0.123,0.000,28,W,0,,,,662547,440.76,0
205,426.973,"Mount",0.150,-0.114,-0.184,0.038,-0.108,0.000,24,E,0,,,,657358,426.42,0
206,429.069,"Mount",0.150,-0.350,-0.285,0.252,-0.187,0.252,42,E,49,S,,,700708,470.68,0
207,431.148,"Mount",0.131,0.102,-0.075,-0.148,0.000,0.000,0,,0,,,,650265,423.78,0
208,433.155,"Mount",0.157,0.036,-0.127,-0.099,0.000,0.000,0,,0,,,,648421,430.78,0
209,435.157,"Mount",0.060,0.077,-0.022,-0.095,0.000,0.000,0,,0,,,,641463,407.27,0
210,437.013,"Mount",0.014,0.050,0.009,-0.052,0.000,0.000,0,,0,,,,645639,460.67,0
211,439.134,"Mount",-0.115,0.052,0.126,0.002,0.000,0.000,0,,0,,,,686372,466.13,0
212,441.281,"Mount",-0.483,0.130,0.492,0.089,0.310,0.000,70,W,0,,,,658717,435.97,0
213,443.365,"Mount",-0.219,0.097,0.240,0.006,0.173,0.000,39,W,0,,,,685909,454.90,0
214,445.287,"Mount",-0.212,0.093,0.231,0.007,0.158,0.000,36,W,0,,,,670182,444.88,0
215,447.322,"Mount",0.011,-0.069,-0.039,0.058,0.000,0.000,0,,0,,,,682177,459.26,0
216,449.285,"Mount",0.114,-0.074,-0.134,0.018,-0.085,0.000,19,E,0,,,,700151,486.66,0
217,451.629,"Mount",0.141,-0.132,-0.184,0.059,-0.122,0.000,28,E,0,,,,671103,449.14,0
218,453.754,"Mount",0.024,-0.065,-0.049,0.049,0.000,0.000,0,,0,,,,653846,420.39,0
219,455.829,"Mount",0.105,-0.219,-0.189,0.154,-0.119,0.000,27,E,0,,,,693030,450.61,0
