----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.2.0.9001--------------------------
-------------------------2026-09-11T19:28:25--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.17763---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
-----------------------------.NET 8.0.21------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 2---------------------------
--------------------Total Physical Memory 11.68 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2026-09-11T19:29:37.0282|INFO|FocuserVM.cs|ChooseFocuser|333|Successfully connected Focuser. Id: ASCOM.PegasusAstro.Focuser Name: Pegasus Astro Focus Controller DisplayName: Pegasus Astro Focus Controller (ASCOM) Driver Version: 2.20
2026-09-11T19:29:37.4934|INFO|TelescopeVM.cs|Disconnect|740|Disconnected mount
2026-09-11T19:29:37.6584|INFO|AscomTelescope.cs|CheckMountTime|845|Mount UTC Time: 2026-09-11 17:29:37Z / System UTC Time: 2026-09-11 17:29:37Z; Difference: 0.005 seconds
2026-09-11T19:29:37.7307|INFO|AscomTelescope.cs|CheckMountTime|865|Mount driver does not allow the mount's time to be set.
2026-09-11T19:29:37.7652|INFO|AscomDevice.cs|GetProperty|527|Property Telescope.SiteElevation GET is not implemented in this driver (CPWI_ASCOM_Telescope)
2026-09-11T19:29:38.3546|INFO|TelescopeVM.cs|ChooseTelescope|535|Successfully connected mount. Id: ASCOM.Optec ASCOM.Telescope Name: CPWI_ASCOM_Telescope DisplayName: CPWI_ASCOM_Telescope (ASCOM) Driver Version: 2.5.9.99  with DLL Assembly Date: July_1_2020
2026-09-11T19:29:40.7691|INFO|PHD2Guider.cs|Connect|205|Connecting to PHD2 server at 127.0.0.1:4400
2026-09-11T19:29:44.5706|INFO|FlatDeviceVM.cs|Disconnect|289|Disconnected Flat Device
2026-09-11T19:30:45.0110|INFO|FlatDeviceVM.cs|Connect|241|Successfully connected flat device. Id: ASCOM.WandererCover1.CoverCalibrator Name: WandererEmpire Cover 1 DisplayName: WandererEmpire Cover 1 (ASCOM) Driver Version: 2.0
2026-09-11T19:30:49.3993|INFO|QHYCamera.cs|ConnectSync|1020|QHYCCD: SDK version: 25-4-23-15
2026-09-11T19:30:49.3995|INFO|QHYCamera.cs|ConnectSync|1021|QHYCCD: USB driver version: 
2026-09-11T19:30:49.3996|INFO|QHYCamera.cs|ConnectSync|1022|QHYCCD: Camera firmware version: 18-10-24
2026-09-11T19:30:49.3997|INFO|QHYCamera.cs|ConnectSync|1023|QHYCCD: Camera FPGA versions: N/A
2026-09-11T19:30:49.4655|INFO|CameraVM.cs|ChooseCamera|455|Successfully connected Camera. Id: 695A-M-0037ec709603ca4e3 Name: 695A-M DisplayName: 695A-M (603ca4e3)Driver Version: 
2026-09-11T19:30:52.6474|INFO|WeatherDataVM.cs|Disconnect|305|Disconnected Weather Device
2026-09-11T19:30:54.6937|INFO|AscomDevice.cs|GetProperty|527|Property ObservingConditions.SkyBrightness GET is not implemented in this driver (CloudWatcher ObsCond)
2026-09-11T19:30:54.7038|INFO|AscomDevice.cs|GetProperty|527|Property ObservingConditions.SkyQuality GET is not implemented in this driver (CloudWatcher ObsCond)
2026-09-11T19:30:54.7185|INFO|AscomDevice.cs|GetProperty|527|Property ObservingConditions.StarFWHM GET is not implemented in this driver (CloudWatcher ObsCond)
2026-09-11T19:30:54.7314|INFO|AscomDevice.cs|GetProperty|527|Property ObservingConditions.WindDirection GET is not implemented in this driver (CloudWatcher ObsCond)
2026-09-11T19:30:54.7439|INFO|WeatherDataVM.cs|ChooseWeatherData|150|Successfully connected Weather Device. Id: ASCOM.CloudWatcher.ObservingConditions Name: CloudWatcher ObsCond DisplayName: CloudWatcher ObsCond (ASCOM) Driver Version: 1.1
2026-09-11T19:30:56.5795|INFO|DomeVM.cs|Disconnect|355|Disconnected Dome Device
2026-09-11T19:30:56.7341|INFO|AscomDevice.cs|GetProperty|527|Property Dome.AtPark GET is not implemented in this driver (Shelter Dome)
2026-09-11T19:30:56.7422|INFO|AscomDevice.cs|GetProperty|527|Property Dome.AtHome GET is not implemented in this driver (Shelter Dome)
2026-09-11T19:30:56.7815|INFO|AscomDevice.cs|GetProperty|527|Property Dome.Azimuth GET is not implemented in this driver (Shelter Dome)
2026-09-11T19:30:57.0525|INFO|DomeVM.cs|ChooseDome|198|Successfully connected Dome. Id: ASCOM.TS_Shelter.Dome Name: Shelter Dome DisplayName: Shelter Dome (ASCOM) Driver Version: 6.6
2026-09-11T19:30:59.0771|INFO|AscomDevice.cs|GetProperty|527|Property Dome.Altitude GET is not implemented in this driver (Shelter Dome)
2026-09-11T19:31:00.0059|INFO|SafetyMonitorVM.cs|Disconnect|221|Disconnected Safety Monitor
2026-09-11T19:31:00.9774|INFO|SafetyMonitorVM.cs|Connect|175|Successfully connected Safety Monitor. Id: ASCOM.Hub.SafetyMonitor Name: Short driver name - please customise DisplayName: Short driver name - please customise (ASCOM) Driver Version: 6.4
2026-09-11T19:31:04.5830|INFO|CameraVM.cs|CoolCamera|138|Cooling Camera. Target: -10 Duration: 00:05:00
2026-09-11T19:38:10.1988|WARNING|DeviceUpdateTimer.cs|Run|115|Dome value update cycle took longer than the device poll interval (Total: 3.14s > 2s; Poll: 00:00:00.0027766; Update: 00:00:03.1397875)
2026-09-11T19:42:44.1581|INFO|DockManagerVM.cs|InitializeAvalonDockLayout|366|Initializing imaging tab layout from C:\Users\PrimaLuceLab\AppData\Local\NINA\Profiles\21c45d14-58c2-4ca1-9053-4e23fb6d7dc4.dock.config
2026-09-11T19:42:57.8343|INFO|Sequence2VM.cs|LockSequence|139|Sequencer unlocked
2026-09-11T20:13:18.9801|INFO|SafetyMonitorVM.cs|UpdateMonitorValues|95|SafetyMonitorInfo state changed to Safe
2026-09-11T20:17:03.1983|WARNING|DeviceUpdateTimer.cs|Run|115|Mount value update cycle took longer than the device poll interval (Total: 3.65s > 2s; Poll: 00:00:03.1711917; Update: 00:00:00.4744834)
2026-09-11T20:17:06.2233|WARNING|DeviceUpdateTimer.cs|Run|115|Dome value update cycle took longer than the device poll interval (Total: 6.78s > 2s; Poll: 00:00:00.2798679; Update: 00:00:06.5044499)
2026-09-11T20:22:21.6546|WARNING|DeviceUpdateTimer.cs|Run|115|Dome value update cycle took longer than the device poll interval (Total: 2.36s > 2s; Poll: 00:00:00.0257662; Update: 00:00:02.3319480)
2026-09-11T20:29:49.3953|ERROR|AscomDevice.cs|GetProperty|546|An unexpected exception occurred during GET of Telescope.GuideRateDeclination: 
ASCOM.DriverException: Riferimento a un oggetto non impostato su un'istanza di oggetto.
 ---> System.NullReferenceException: Riferimento a un oggetto non impostato su un'istanza di oggetto.
   --- End of inner exception stack trace ---
   at ASCOM.Com.DriverAccess.DynamicAccess.CheckDotNetExceptions(String memberName, Exception e) in J:\ASCOMLibrary\ASCOM.Com\ASCOM.Com.DriverAccess\BaseClass\DynamicAccess.cs:line 278
   at ASCOM.Com.DriverAccess.DynamicAccess.TryGetMember(GetMemberBinder binder, Object& result) in J:\ASCOMLibrary\ASCOM.Com\ASCOM.Com.DriverAccess\BaseClass\DynamicAccess.cs:line 150
   at CallSite.Target(Closure, CallSite, Object)
   at ASCOM.Com.DriverAccess.Telescope.get_GuideRateDeclination() in J:\ASCOMLibrary\ASCOM.Com\ASCOM.Com.DriverAccess\Telescope.cs:line 294
   at InvokeStub_Telescope.get_GuideRateDeclination(Object, Object, IntPtr*)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
2026-09-11T20:29:50.0834|INFO|AscomDevice.cs|GetProperty|485|Retrying to GET Telescope.GuideRateDeclination - Attempt 2 / 3
2026-09-11T20:29:50.7187|WARNING|DeviceUpdateTimer.cs|Run|115|Dome value update cycle took longer than the device poll interval (Total: 7.28s > 2s; Poll: 00:00:00.4011104; Update: 00:00:06.8797704)
2026-09-11T20:29:51.1604|WARNING|DeviceUpdateTimer.cs|Run|115|Camera value update cycle took longer than the device poll interval (Total: 3.16s > 2s; Poll: 00:00:01.6962631; Update: 00:00:01.4679568)
2026-09-11T20:29:51.2669|WARNING|DeviceUpdateTimer.cs|Run|115|Focuser value update cycle took longer than the device poll interval (Total: 3.27s > 2s; Poll: 00:00:02.1589485; Update: 00:00:01.1124393)
2026-09-11T20:29:51.7873|WARNING|DeviceUpdateTimer.cs|Run|115|Mount value update cycle took longer than the device poll interval (Total: 8.22s > 2s; Poll: 00:00:08.2190051; Update: 00:00:00.0001072)
2026-09-11T20:46:59.8747|INFO|Sequence2VM.cs|StartSequence|543|Advanced Sequence starting
2026-09-11T20:46:59.9046|INFO|SequenceItem.cs|Run|208|Starting Category: * Set di Istruzioni *, Container: NINA.Sequencer.Container.SequenceRootContainer, Strategy: SequentialStrategy, Items[CREATED]: 3, Triggers: Trigger: MeridianFlipTriggerTrigger: RestoreGuidingTrigger: AutofocusAfterHFRIncreaseTrigger, Amount: 5Trigger: AutofocusAfterFilterChange
2026-09-11T20:46:59.9181|INFO|MeridianFlipTrigger.cs|ShouldTrigger|204|Meridian Flip - Telescope is not tracking. Skip flip evaluation
2026-09-11T20:46:59.9223|INFO|SequenceItem.cs|Run|208|Starting Category: * Set di Istruzioni *, Container: NINA.Sequencer.Container.StartAreaContainer, Strategy: SequentialStrategy, Items[CREATED]: 2
2026-09-11T20:46:59.9230|INFO|MeridianFlipTrigger.cs|ShouldTrigger|204|Meridian Flip - Telescope is not tracking. Skip flip evaluation
2026-09-11T20:46:59.9234|INFO|SequenceItem.cs|Run|208|Starting Category: Utilità, Item: Annotation, Text: VERSION: 1
2026-09-11T20:46:59.9239|INFO|SequenceItem.cs|Run|254|Finishing Category: Utilità, Item: Annotation, Text: VERSION: 1
2026-09-11T20:46:59.9279|INFO|MeridianFlipTrigger.cs|ShouldTrigger|204|Meridian Flip - Telescope is not tracking. Skip flip evaluation
2026-09-11T20:46:59.9281|INFO|SequenceItem.cs|Run|208|Starting Category: * Set di Istruzioni *, Container: NINA.Sequencer.Container.SequentialContainer, Strategy: SequentialStrategy, Items[CREATED]: 4
2026-09-11T20:46:59.9283|INFO|MeridianFlipTrigger.cs|ShouldTrigger|204|Meridian Flip - Telescope is not tracking. Skip flip evaluation
2026-09-11T20:46:59.9284|INFO|SequenceItem.cs|Run|208|Starting Category: Utilità, Item: Annotation, Text: VERSION: 1
2026-09-11T20:46:59.9285|INFO|SequenceItem.cs|Run|254|Finishing Category: Utilità, Item: Annotation, Text: VERSION: 1
2026-09-11T20:46:59.9288|INFO|MeridianFlipTrigger.cs|ShouldTrigger|204|Meridian Flip - Telescope is not tracking. Skip flip evaluation
